,Name,style,IBU,ABV,Description
5526,Triberg,Pilsner - German,47,5.4,"German style pilsner hopped with Hallertau Mittelfruh, Tettnang, "
5527,Klinker,Pilsner - German,35,5.0,Pilsner - German
5530,Augmentation of Reality,Pilsner - Imperial / Double,37,5.0,Pilsner - Imperial / Double
5536,Siamese Pachyderm,Pilsner - Imperial / Double,24,8.3,"Imperial Pilsner dry-hopped with Mosaic, Calista,"
5537,Super Fresh,Pilsner - Imperial / Double,37,7.6,Pilsner - Imperial / Double
5539,The ABCS,Pilsner - Imperial / Double,100,7.5,"We've made learning your ABCS easy by adding copious amounts of Apollo, Bravo, Calypso, and Simcoe. Intense hoppy aromas of stone fruit, citrus flavors, and piney spiciness. Deep golden in color with a resinous haze. A true celebration of hops. Read Less"
5541,9th Anniversary Imperial Pilsner,Pilsner - Imperial / Double,55,7.0,Pilsner - Imperial / Double
5543,Pound of Cashmere Feathers,Pilsner - Imperial / Double,1,7.0,Pilsner - Imperial / Double
5546,Sampan,Pilsner - Imperial / Double,25,8.0,Pilsner - Imperial / Double
5549,Side Four Imperial Dry-Hopped Pilsner,Pilsner - Imperial / Double,66,8.0,Pilsner - Imperial / Double
5558,ScareCity #1: Imperial Pilsner,Pilsner - Imperial / Double,60,8.3,Pilsner - Imperial / Double
5559,My Antonia,Pilsner - Imperial / Double,35,7.5,Pilsner - Imperial / Double
5560,Plan 9,Pilsner - Imperial / Double,60,10.3,Pilsner - Imperial / Double
5561,Fractions & Decimals,Pilsner - Imperial / Double,25,7.7,Pilsner - Imperial / Double
5566,Samson Triple India Pale Pils,Pilsner - Imperial / Double,80,10.5,Pilsner - Imperial / Double
5568,Anniversary XX Imperial Pilsner,Pilsner - Imperial / Double,65,8.0,Pilsner - Imperial / Double
5570,Psychedelic Pils,Pilsner - Imperial / Double,48,9.0,Pilsner - Imperial / Double
5572,Tequila Barrel-aged Imperial Pilsner,Pilsner - Imperial / Double,65,10.4,Pilsner - Imperial / Double
5575,Imperial Dortmunder,Pilsner - Imperial / Double,35,7.5,Pilsner - Imperial / Double
5577,Capsize,Pilsner - Imperial / Double,60,7.0,"With an extra load of Cascade hops from start to finish, we have upended our Pilsner. ig hop flavors of citrus and pine abound, but with a smooth malt character this one is remarkably easy to drink. Read Less"
5578,The Jury,Pilsner - Imperial / Double,40,9.0,"Notes of Muscadines and a hint of tropical fruits, The Jury stands out as an excellent Imperial Pilsner experience with decadent flavors and rich malt complexity. Read Less"
5585,Frusta,Pilsner - Italian,20,4.2,"Hops: Hallertauers (Magnum, Mittelfruh, Blanc) Malt: Bohemian Pilsner, Vienna, Sauermal"
5587,Kinda Pils,Pilsner - Italian,35,5.5,Pilsner - Italian
5589,L'ultima Moda,Pilsner - Italian,33,4.8,Pilsner - Italian
5590,Bright,Pilsner - Italian,30,5.5,Pilsner - Italian
5599,Any Day Now,Pilsner - Italian,35,5.0,Dry-hopped with Mittlfruh. Brewed in collaboration with Blackberry Farm Brewery. Lagered 3 months. Weyermann Er
5605,Paesanos,Pilsner - Italian,35,5.3,Pilsner - Italian
5606,Italian Pilsner,Pilsner - Italian,28,5.0,Pilsner - Italian
5620,00 Italian Pilsner,Pilsner - Italian,32,5.5,Pilsner - Italian
5622,Fresh Hop Fiend Italian Pils – El Dorado (2020),Pilsner - Italian,37,5.2,"Italians like to add a little flair to their pilsners by dry hopping for an extra layer of aroma. Because we love hops and it IS fresh hop season, we decided to add some Northwest flair to that Italian flair. That's a whole lotta flair! We made this beer extra special by dry hopping with 50 lbs of freshly harvested El Dorado hops from CLS Farms. Aromas of tropical fruit and pear are carried beautifully on a base of crisp, light pilsner malt. Deliziosa! Read Less"
5623,Agostini Pils,Pilsner - Italian,41,5.0,"Italian-Style Pilsner; orange peel, spearmi"
5627,Richmond Is For Lägers: Italian Pilsner,Pilsner - Italian,26,4.8,Pilsner - Italian
5643,Juicy Pils,Pilsner - Other,40,6.0,Pilsner - Other
5649,DDH Juicy Pils,Pilsner - Other,50,6.0,Pilsner - Other
5652,Birdie To Bogey,Pilsner - Other,10,5.4,Pilsner - Other
5657,South St. Pils- Foeder Aged,Pilsner - Other,20,5.5,Pilsner - Other
5661,Our Hearts of Ruin,Pilsner - Other,34,5.5,Pilsner - Other
5662,Hot Ticket,Pilsner - Other,36,5.5,Pilsner - Other
5667,Other Forms of Evil,Pilsner - Other,28,5.5,Pilsner - Other
5676,Save Versus Fire,Pilsner - Other,25,4.7,Pilsner - Other
5679,Have Everything And Have Nothing At All,Pilsner - Other,40,5.2,Pilsner - Other
5683,Pour-Over Porter (Tiramisu),Porter - American,35,6.7,Porter - American
5685,Coconut Porter,Porter - American,27,6.5,Porter - American
5687,Hustle,Porter - American,33,7.8,Porter - American
5688,Peanut Butter Korova Milk Porter,Porter - American,20,6.2,Porter - American
5689,Pour-Over Porter (Jamaican Blue Mountain),Porter - American,35,6.8,Special variant infused with Jamaican Blue Mount
5690,Last Buffalo in the Park - Louisville,Porter - American,40,11.5,Louisville Bourbon Barrel-aged Last Buffalo in the Pa
5693,Bourbon Barrel-Aged Neapolitan,Porter - American,45,12.6,Porter - American
5695,German Chocolate Cake,Porter - American,15,7.3,Porter - American
5705,Peanut Butter Porter,Porter - American,30,6.6,Porter - American
5706,Pour-Over Porter (Costa Rica Tarrazu),Porter - American,35,6.8,Special variant infused with coffee grown in the Tarrazu region of Costa Rica. Crowlers labele
5708,Pour-Over Porter,Porter - American,35,6.8,"Robust, coffee-infu"
5709,PBS Porter,Porter - American,29,7.0,Chocolate peanut bu
5710,Hatchet Coffee Porter,Porter - American,38,6.7,Porter - American
5712,Pour-Over Porter (Burundi),Porter - American,35,6.8,Porter - American
5714,Macadamia Nut Porter,Porter - American,22,6.0,Porter - American
5715,Peanut Panic Porter,Porter - American,20,6.5,"Brewed with hand crafted specialty malt from Sugar Creek, This chocolate forward base was then complemented with 300 lbs of dry-roasted peanuts late in the boil. We later added a bed of cacao nibs to add even more chocolate goodness to this delicious peanut buttery treat. Read Less"
5720,Rum Barrel-Aged Last Snow,Porter - American,35,7.5,Porter - American
5722,OMfG (Chocolate Peanut Butter Porter),Porter - American,20,6.9,Porter brewed with all Natural chocolate and pea
5723,Dark Thread Porter,Porter - American,23,6.8,A robust porter brewed with a variety of chocolates and oats. Conta
5724,Pour-Over Porter (Guatemala),Porter - American,34,6.8,Special variant infused with coffee from the Huehuetenango region of
5726,Choosy Mother Peanut Butter Porter,Porter - American,19,6.6,Porter - American
5731,Barrel Aged Old Mad Joy (2016) Heaven Hill,Porter - Baltic,60,10.0,"Old Mad Joy is a Baltic porter with layered malt complexities of chocolate, coffee and roasted barley. This dark and rich lager shines with a boozy but restrained sweetness and builds a slight fruitiness as it warms.

Wax - Gold
Released - February 2016 Read Less"
5732,Barrel Aged Old Mad Joy (2017) Pappy Van Winkle w/ Coffee & Vietnamese Cinnamon,Porter - Baltic,60,10.0,"For this release we decided to have some fun and present something new. A lot of folks have been asking for a coffee version of BAOMJ. We are listening. This release will include our first variant of BAOMJ with Vietnamese Cinnamon and local coffee. This is the same blend we use in Creature of Habit. If it ain't broke, don't fix it.

Wax - black
Released - February 2017 Read Less"
5737,Baltic Argonaut Aged In Rye Whiskey Barrels,Porter - Baltic,35,11.5,Porter - Baltic
5739,Barrel Aged Old Mad Joy (2017) Pappy Van Winkle,Porter - Baltic,60,10.0,"This release is the first time we have blended barrels from multiple batches. Of the remaining Pappy Van Winkle barrels we procured back in 2014, only a handful passed sensory. The rest will age for even longer or, more than likely, be dumped. Sad, I know...but not every baby is beautiful. Keep in mind that the idea for this beer was to always let the barrels speaks for themselves. Our job is simply to introduce the same beer to a variety of barrels and wait. Thus far, we have been happy with the results and this release is no exception. This blend includes some that has been in the barrels for 18 months and some aged for 6 months. Read Less"
5741,Barrel Aged Old Mad Joy (2019) Woodford Reserve,Porter - Baltic,60,10.0,"Old Mad Joy is a Baltic porter with layered malt complexities of chocolate, coffee and roasted barley. This dark and rich lager shines with a boozy but restrained sweetness and builds a slight fruitiness as it warms.

Wax - Maroon
Released - January 2019 Read Less"
5743,Double Stuffed Oja,Porter - Baltic,34,8.9,Our favorite Baltic Porter finished on America's #1 Cookie. Chocolaty and rich with a creamy finish. Trea
5745,Divine Reserve No. 17,Porter - Baltic,47,9.2,Porter - Baltic
5746,Barrel Aged Old Mad Joy (2015) Pappy Van Winkle,Porter - Baltic,60,10.0,"Old Mad Joy is a Baltic porter with layered malt complexities of chocolate, coffee and roasted barley. This dark and rich lager shines with a boozy but restrained sweetness and builds a slight fruitiness as it warms.

Wax - black
Released - January 2015 Read Less"
5747,Battleaxe Baltic Porter (Bourbon Barrel Aged),Porter - Baltic,33,9.6,Porter - Baltic
5748,Barrel Aged Old Mad Joy (2018) Smoked & Oaked,Porter - Baltic,120,10.0,"In our never-ending quest to make each release unique, we present Smoked and Oaked Barrel Aged Old Mad Joy. For this release we introduced a significant amount of German smoked malt to the mash, adding complexities of smoke layered beautifully with the rich malty goodness that fans of this beer have grown accustomed to.

Release Date = Sept 29, 2018 Read Less"
5750,Barrel Aged Old Mad Joy (2019) Churros y Chocolate,Porter - Baltic,60,10.0,"This batch was aged in Woodford Reserve® Barrels for nine months before it was blended with cinnamon and chocolate. Churros y Chocolate is a nod to this crispy confection, bursting with aromas of chocolate and cinnamon, and a rich grain bill that perfectly blends together the spice, sweetness and roast.

Wax - Maroon
Released - October 2019 Read Less"
5754,Barrel Aged Old Mad Joy (2017) Buffalo Trace,Porter - Baltic,60,10.0,"Old Mad Joy is a Baltic porter with layered malt complexities of chocolate, coffee and roasted barley. This dark and rich lager shines with a boozy but restrained sweetness and builds a slight fruitiness as it warms.

Wax - Green
Released - August 2017 Read Less"
5756,Bishop's Barrel No. 25,Porter - Baltic,40,9.2,Porter - Baltic
5757,Iron Smoke Barrel Aged Baltic Porter,Porter - Baltic,32,10.4,Porter - Baltic
5759,Double Haze Porter,Porter - Baltic,47,8.6,Porter - Baltic
5760,Vanilla Ascension Coffee Porter,Porter - Baltic,40,6.9,Porter - Baltic
5766,Barrel Aged Old Mad Joy (2021) - Heaven Hill Barrels,Porter - Baltic,50,10.0,Porter - Baltic
5768,Putin's Revenge Coffee,Porter - Baltic,45,8.5,Our own Putin's Revenge Baltic Porter boosted with the addition of cold extracted Yirgacheffe coffee beans fro
5769,Barrel Aged Shipwreck Porter,Porter - Baltic,50,12.0,Porter - Baltic
5771,Baltic Argonaut Aged In Port Barrels,Porter - Baltic,35,11.5,Porter - Baltic
5772,Baltic Argonaut,Porter - Baltic,35,11.5,Porter - Baltic
5773,Massif Porter,Porter - Baltic,26,8.4,Porter - Baltic
5775,Cosmic Ristretto,Porter - Baltic,45,8.2,Porter - Baltic
5777,3Beans (2013),Porter - Baltic,85,10.0,"Note: the beer currently in production, released Nov 2017, is Barrel-Aged 3Beans. Cheers!

Take thou also unto thee wheat, and barley, and beans.. and put them in one vessel. The beans of bygone brewers, united with cacao and coffee, to create a trinity of roasted, rich, and savory flavors. Read Less"
5778,Baltic Argonaut Aged In Tennessee Whiskey Barrels,Porter - Baltic,35,11.5,Porter - Baltic
5779,Peanut Butter Rasputin,Porter - Baltic,50,9.0,A Peanut Butter variant of our Putin's Revenge Bal
5780,Last Snow,Porter - Coffee,35,6.4,Porter - Coffee
5781,Maple Bacon Coffee Porter,Porter - Coffee,35,6.4,Porter - Coffee
5783,Kittywampus,Porter - Coffee,34,9.5,"Imperial Porter brewed with Milk Sugar, and aged on Vanilla and Endiro Coffee's single-origin Bududa Bukalasi Ugan"
5784,Pour-Over Porter (Coconut Macaroon),Porter - Coffee,35,6.7,The always delicious P.O.P adds REAL homemade coconut macaroons to the series. Cookies and Coffee were made for each other. (Contai
5785,Köffee & Doughnuts,Porter - Coffee,35,6.8,A unique Pour-Over Porter variant infused with a myriad of
5792,Maple Granola Pour-Over Porter,Porter - Coffee,35,7.0,Porter - Coffee
5794,Köffee And Biscotti,Porter - Coffee,35,6.7,Our robust coffee porter dunked with a healthy dose of almond biscotti. Who says you can't have beer for breakfast? *Conta
5795,Two Nut Chump,Porter - Coffee,25,6.0,Brown Porter made with Hazelnut coffee a
5796,The Beginning Is After the End,Porter - Coffee,25,6.5,Porter - Coffee
5798,The Illest,Porter - Coffee,50,8.5,Big Porter Beer brewed with milk sugar and conditioned on whole bea
5799,Peanut Butter Cup Coffee Porter,Porter - Coffee,30,5.5,"A 2014 World Beer Cup Gold Winner in the Specialty Category, this complex, robust porter is brewed with 7 different malts then infused with peanut butter, chocolate and fresh roasted coffee. Read Less"
5800,Pour-Over Porter (Tanzanian Peaberry),Porter - Coffee,35,6.8,Special variant infused with delicious coffee fro
5804,Pour-Over Porter (Sumatra Mandheling),Porter - Coffee,35,6.7,Porter - Coffee
5806,The Big Breakfast,Porter - Coffee,20,7.2,Maple Co
5808,El Salvador Chalate Microlot Pour-Over Porter,Porter - Coffee,35,6.7,Special variant infused with El Salvador Chalate Micro
5809,Colombian Coffee Porter,Porter - Coffee,50,6.4,"Robust-style Porter with a big, malt backbone. Slightly sweet and fermented with select coffee crystals. A JAFB favorite"
5812,Cold Press Black | Coffee Ale,Porter - Coffee,35,6.0,Porter - Coffee
5813,Local Blend - Cincinnati - Deeper Roots Coffee,Porter - Coffee,19,6.0,Porter - Coffee
5814,Köffee & Cakes,Porter - Coffee,25,6.8,Real coffee cakes rested within our coffee infused Pour-Over Porter. Who says beer ain't for
5815,Brewers' Cut No. 18 Café de Olla Porter,Porter - Coffee,35,6.6,Porter - Coffee
5816,Latte & Cigarettes,Porter - Coffee,45,7.3,Porter - Coffee
5824,VSCC Pour-Over Porter (Vanilla Sandwich Cookie/Coconut),Porter - Coffee,25,6.8,Our signature Coffee Porter (El Salvador microlot beans) double stuffed with vanilla sandwich cookies and toast
5825,Rocket Fuel - Vietnamese Coffee Porter,Porter - Coffee,24,5.0,Houston's ORIGINAL Vietnamese Coffee Porter. Cafe Sua Da of beer! A Greenway Coffee Co. collabo
5827,Ninja Latte,Porter - Coffee,26,5.2,Porter - Coffee
5828,Pablo,Porter - Coffee,18,5.8,Porter - Coffee
5829,Nut House Coffee Porter,Porter - Coffee,34,5.5,"Medium bodied beer with a hint of chocolate and roasted flavor. Brewed with locally roasted hazelnut, coconut, and pecan blend"
5831,Barrel Aged Porter 8/24/17 - Red Wax,Porter - English,30,8.5,"In this bottle we have 6 different used oak barrels filled with porter then blended back together. We used 2 bourbon barrels that were filled on 8/22/16, also 2 bourbon barrels filled on 9/10/16, and 2 Templeton Rye Whiskey barrels filled 1/3/17. We found this combination of age, and barrel types created a strong and rich aroma, full flavors and really smooth, clean, almost easy finish. We hope that you enjoy this as much as we do, cheers!” Read Less"
5832,Barrel Aged Porter 11/21/17 - Gold Wax,Porter - English,20,8.5,"5 different spirit soaked oak barrels were filled with porter, aged, then blended back together. We used 2 bourbon barrels that were filled on 9/10/16, also 2 bourbon barrels filled on 10/25/16 with added cocoa nibs, and 1 Templeton Rye Whiskey barrel filled 1/3/17. In this 11/21/17 vintage you still have smooth easy-going flavors, with a richer, heavier body. The added cocoa nibs are not immediately obvious but do compliment the combination of bourbon barrels with rich, strong aromas and mouth-feel.” Read Less"
5833,Peanut Butter Porter,Porter - English,40,5.0,Porter - English
5834,Nitro Coffee Porter,Porter - English,28,5.2,Porter - English
5835,Under Pressure,Porter - English,18,5.2,Porter - English
5836,Three Bandits - Coffee Porter,Porter - English,28,5.5,Porter - English
5837,Peanut Butter Cup - Chocolate Porter,Porter - English,28,6.8,Porter - English
5838,Elvis is in the Building!,Porter - English,25,6.0,"Chocolate covered banana, dipped in pea"
5842,Bourbon Barrel Aged People's Porter,Porter - English,42,5.8,Porter - English
5844,Nitro Vanilla Java Porter,Porter - English,13,4.5,English S
